,Hero,Times Picked,Win,Loss,WR%,TimesPicked%,Times Picked(Radiant side),Win(Radiant side),Loss(Radiant side),WR%(Radiant side),Times Picked(Dire side),Win(Dire side),Loss(Dire side),WR%(Dire side)
35,Dragon Knight,20,7,13,35.00%,10.31%,13,6,7,46.15%,7,1,6,14.29%
36,Puck,19,9,10,47.37%,9.79%,10,4,6,40.00%,9,5,4,55.56%
37,Gyrocopter,19,4,15,21.05%,9.79%,9,3,6,33.33%,10,1,9,10.00%
38,Winter Wyvern,18,13,5,72.22%,9.28%,10,6,4,60.00%,8,7,1,87.50%
39,Rubick,18,10,8,55.56%,9.28%,9,6,3,66.67%,9,4,5,44.44%
40,Sand King,18,6,12,33.33%,9.28%,8,4,4,50.00%,10,2,8,20.00%
41,Clockwerk,17,6,11,35.29%,8.76%,9,4,5,44.44%,8,2,6,25.00%
42,Templar Assassin,16,10,6,62.50%,8.25%,7,5,2,71.43%,9,5,4,55.56%
43,Mirana,16,8,8,50.00%,8.25%,8,4,4,50.00%,8,4,4,50.00%
44,Queen of Pain,16,6,10,37.50%,8.25%,8,4,4,50.00%,8,2,6,25.00%
45,Faceless Void,15,9,6,60.00%,7.73%,8,5,3,62.50%,7,4,3,57.14%
46,Troll Warlord,15,6,9,40.00%,7.73%,7,3,4,42.86%,8,3,5,37.50%
47,Enchantress,14,9,5,64.29%,7.22%,6,4,2,66.67%,8,5,3,62.50%
48,Pangolier,14,5,9,35.71%,7.22%,8,3,5,37.50%,6,2,4,33.33%
49,Dawnbreaker,13,6,7,46.15%,6.70%,7,3,4,42.86%,6,3,3,50.00%
50,Treant Protector,13,5,8,38.46%,6.70%,4,2,2,50.00%,9,3,6,33.33%
51,Ancient Apparition,12,7,5,58.33%,6.19%,4,3,1,75.00%,8,4,4,50.00%
52,Razor,12,7,5,58.33%,6.19%,5,4,1,80.00%,7,3,4,42.86%
53,Undying,12,7,5,58.33%,6.19%,7,5,2,71.43%,5,2,3,40.00%
54,Clinkz,12,5,7,41.67%,6.19%,7,2,5,28.57%,5,3,2,60.00%
55,Wraith King,11,6,5,54.55%,5.67%,3,1,2,33.33%,8,5,3,62.50%
56,Beastmaster,11,5,6,45.45%,5.67%,8,4,4,50.00%,3,1,2,33.33%
57,Lifestealer,11,5,6,45.45%,5.67%,6,2,4,33.33%,5,3,2,60.00%
58,Timbersaw,11,5,6,45.45%,5.67%,5,1,4,20.00%,6,4,2,66.67%
59,Tinker,10,8,2,80.00%,5.15%,2,1,1,50.00%,8,7,1,87.50%
60,Dark Willow,10,6,4,60.00%,5.15%,6,4,2,66.67%,4,2,2,50.00%
61,Earth Spirit,10,5,5,50.00%,5.15%,6,3,3,50.00%,4,2,2,50.00%
62,Nyx Assassin,10,5,5,50.00%,5.15%,8,5,3,62.50%,2,0,2,0.00%
63,Shadow Demon,10,3,7,30.00%,5.15%,5,1,4,20.00%,5,2,3,40.00%
64,Skywrath Mage,10,3,7,30.00%,5.15%,1,1,0,100.00%,9,2,7,22.22%
65,Necrophos,9,6,3,66.67%,4.64%,3,2,1,66.67%,6,4,2,66.67%
66,Shadow Fiend,9,4,5,44.44%,4.64%,3,1,2,33.33%,6,3,3,50.00%
67,Vengeful Spirit,9,3,6,33.33%,4.64%,3,0,3,0.00%,6,3,3,50.00%
68,Dark Seer,9,2,7,22.22%,4.64%,6,2,4,33.33%,3,0,3,0.00%
69,Bloodseeker,8,5,3,62.50%,4.12%,4,3,1,75.00%,4,2,2,50.00%
70,Venomancer,8,5,3,62.50%,4.12%,2,1,1,50.00%,6,4,2,66.67%
71,Windranger,8,5,3,62.50%,4.12%,4,2,2,50.00%,4,3,1,75.00%
72,Abaddon,8,4,4,50.00%,4.12%,5,2,3,40.00%,3,2,1,66.67%
73,Juggernaut,8,4,4,50.00%,4.12%,4,2,2,50.00%,4,2,2,50.00%
74,Slardar,8,4,4,50.00%,4.12%,3,2,1,66.67%,5,2,3,40.00%
75,Slark,8,4,4,50.00%,4.12%,4,3,1,75.00%,4,1,3,25.00%
76,Tusk,8,4,4,50.00%,4.12%,1,1,0,100.00%,7,3,4,42.86%
77,Hoodwink,8,3,5,37.50%,4.12%,5,2,3,40.00%,3,1,2,33.33%
78,Crystal Maiden,7,3,4,42.86%,3.61%,2,1,1,50.00%,5,2,3,40.00%
79,Shadow Shaman,7,3,4,42.86%,3.61%,4,2,2,50.00%,3,1,2,33.33%
80,Bristleback,6,2,4,33.33%,3.09%,2,0,2,0.00%,4,2,2,50.00%
81,Death Prophet,6,2,4,33.33%,3.09%,1,0,1,0.00%,5,2,3,40.00%
82,Batrider,6,1,5,16.67%,3.09%,2,0,2,0.00%,4,1,3,25.00%
83,Jakiro,6,1,5,16.67%,3.09%,1,1,0,100.00%,5,0,5,0.00%
84,Pugna,5,3,2,60.00%,2.58%,0,0,0,-,5,3,2,60.00%
85,Underlord,5,3,2,60.00%,2.58%,3,1,2,33.33%,2,2,0,100.00%
86,Bounty Hunter,5,2,3,40.00%,2.58%,3,2,1,66.67%,2,0,2,0.00%
87,Centaur Warrunner,5,2,3,40.00%,2.58%,4,1,3,25.00%,1,1,0,100.00%
88,Oracle,5,2,3,40.00%,2.58%,3,1,2,33.33%,2,1,1,50.00%
89,Phantom Assassin,5,2,3,40.00%,2.58%,1,0,1,0.00%,4,2,2,50.00%
90,Sniper,5,2,3,40.00%,2.58%,1,0,1,0.00%,4,2,2,50.00%
91,Witch Doctor,5,2,3,40.00%,2.58%,4,2,2,50.00%,1,0,1,0.00%
92,Naga Siren,5,1,4,20.00%,2.58%,1,1,0,100.00%,4,0,4,0.00%
93,Drow Ranger,4,3,1,75.00%,2.06%,2,2,0,100.00%,2,1,1,50.00%
94,Chaos Knight,4,2,2,50.00%,2.06%,3,1,2,33.33%,1,1,0,100.00%
95,Phantom Lancer,4,2,2,50.00%,2.06%,1,1,0,100.00%,3,1,2,33.33%
96,Anti-Mage,3,1,2,33.33%,1.55%,1,1,0,100.00%,2,0,2,0.00%
97,Grimstroke,3,1,2,33.33%,1.55%,1,0,1,0.00%,2,1,1,50.00%
98,Viper,3,1,2,33.33%,1.55%,1,0,1,0.00%,2,1,1,50.00%
99,Brewmaster,3,0,3,0.00%,1.55%,0,0,0,-,3,0,3,0.00%
100,Chen,2,2,0,100.00%,1.03%,0,0,0,-,2,2,0,100.00%
101,Visage,2,2,0,100.00%,1.03%,1,1,0,100.00%,1,1,0,100.00%
102,Lich,2,1,1,50.00%,1.03%,0,0,0,-,2,1,1,50.00%
103,Axe,2,0,2,0.00%,1.03%,0,0,0,-,2,0,2,0.00%
104,Arc Warden,1,1,0,100.00%,0.52%,1,1,0,100.00%,0,0,0,-
105,Riki,1,1,0,100.00%,0.52%,1,1,0,100.00%,0,0,0,-
106,Alchemist,1,0,1,0.00%,0.52%,0,0,0,-,1,0,1,0.00%
107,Dazzle,1,0,1,0.00%,0.52%,0,0,0,-,1,0,1,0.00%
108,Enigma,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
109,Keeper of the Light,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
110,Omniknight,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
111,Pudge,1,0,1,0.00%,0.52%,0,0,0,-,1,0,1,0.00%
112,Warlock,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
