,Hero,Times Picked,Win,Loss,WR%,TimesPicked%,Times Picked(Radiant side),Win(Radiant side),Loss(Radiant side),WR%(Radiant side),Times Picked(Dire side),Win(Dire side),Loss(Dire side),WR%(Dire side)
43,Naga Siren,15,9,6,60.00%,7.77%,8,5,3,62.50%,7,4,3,57.14%
44,Lion,15,7,8,46.67%,7.77%,6,0,6,0.00%,9,7,2,77.78%
45,Witch Doctor,15,7,8,46.67%,7.77%,8,3,5,37.50%,7,4,3,57.14%
46,Timbersaw,15,6,9,40.00%,7.77%,9,4,5,44.44%,6,2,4,33.33%
47,Death Prophet,15,5,10,33.33%,7.77%,8,3,5,37.50%,7,2,5,28.57%
48,Razor,14,6,8,42.86%,7.25%,5,3,2,60.00%,9,3,6,33.33%
49,Pangolier,14,5,9,35.71%,7.25%,5,1,4,20.00%,9,4,5,44.44%
50,Oracle,13,8,5,61.54%,6.74%,8,5,3,62.50%,5,3,2,60.00%
51,Batrider,13,7,6,53.85%,6.74%,8,3,5,37.50%,5,4,1,80.00%
52,Bristleback,13,6,7,46.15%,6.74%,6,2,4,33.33%,7,4,3,57.14%
53,Morphling,13,6,7,46.15%,6.74%,7,4,3,57.14%,6,2,4,33.33%
54,Broodmother,13,5,8,38.46%,6.74%,6,3,3,50.00%,7,2,5,28.57%
55,Windranger,12,9,3,75.00%,6.22%,3,2,1,66.67%,9,7,2,77.78%
56,Phantom Assassin,12,5,7,41.67%,6.22%,5,1,4,20.00%,7,4,3,57.14%
57,Queen of Pain,12,5,7,41.67%,6.22%,7,3,4,42.86%,5,2,3,40.00%
58,Legion Commander,11,6,5,54.55%,5.70%,4,3,1,75.00%,7,3,4,42.86%
59,Nyx Assassin,11,5,6,45.45%,5.70%,3,1,2,33.33%,8,4,4,50.00%
60,Silencer,11,3,8,27.27%,5.70%,7,3,4,42.86%,4,0,4,0.00%
61,Dragon Knight,10,6,4,60.00%,5.18%,6,2,4,33.33%,4,4,0,100.00%
62,Shadow Fiend,10,5,5,50.00%,5.18%,6,3,3,50.00%,4,2,2,50.00%
63,Spectre,10,5,5,50.00%,5.18%,4,1,3,25.00%,6,4,2,66.67%
64,Treant Protector,9,7,2,77.78%,4.66%,2,1,1,50.00%,7,6,1,85.71%
65,Tusk,9,5,4,55.56%,4.66%,1,0,1,0.00%,8,5,3,62.50%
66,Bane,9,3,6,33.33%,4.66%,5,2,3,40.00%,4,1,3,25.00%
67,Medusa,8,5,3,62.50%,4.15%,4,2,2,50.00%,4,3,1,75.00%
68,Arc Warden,8,4,4,50.00%,4.15%,6,2,4,33.33%,2,2,0,100.00%
69,Troll Warlord,8,3,5,37.50%,4.15%,1,0,1,0.00%,7,3,4,42.86%
70,Mars,8,1,7,12.50%,4.15%,4,0,4,0.00%,4,1,3,25.00%
71,Meepo,7,5,2,71.43%,3.63%,6,4,2,66.67%,1,1,0,100.00%
72,Anti-Mage,7,3,4,42.86%,3.63%,4,3,1,75.00%,3,0,3,0.00%
73,Terrorblade,7,3,4,42.86%,3.63%,4,2,2,50.00%,3,1,2,33.33%
74,Lich,7,2,5,28.57%,3.63%,4,1,3,25.00%,3,1,2,33.33%
75,Pugna,7,2,5,28.57%,3.63%,4,1,3,25.00%,3,1,2,33.33%
76,Weaver,7,2,5,28.57%,3.63%,2,0,2,0.00%,5,2,3,40.00%
77,Monkey King,6,4,2,66.67%,3.11%,1,0,1,0.00%,5,4,1,80.00%
78,Slardar,6,4,2,66.67%,3.11%,3,2,1,66.67%,3,2,1,66.67%
79,Nature's Prophet,6,3,3,50.00%,3.11%,4,2,2,50.00%,2,1,1,50.00%
80,Necrophos,6,3,3,50.00%,3.11%,3,2,1,66.67%,3,1,2,33.33%
81,Phoenix,6,1,5,16.67%,3.11%,1,0,1,0.00%,5,1,4,20.00%
82,Lone Druid,6,0,6,0.00%,3.11%,1,0,1,0.00%,5,0,5,0.00%
83,Dark Seer,5,4,1,80.00%,2.59%,3,2,1,66.67%,2,2,0,100.00%
84,Tinker,5,4,1,80.00%,2.59%,4,3,1,75.00%,1,1,0,100.00%
85,Visage,5,3,2,60.00%,2.59%,3,1,2,33.33%,2,2,0,100.00%
86,Sniper,5,2,3,40.00%,2.59%,3,1,2,33.33%,2,1,1,50.00%
87,Underlord,5,2,3,40.00%,2.59%,2,2,0,100.00%,3,0,3,0.00%
88,Phantom Lancer,5,1,4,20.00%,2.59%,1,0,1,0.00%,4,1,3,25.00%
89,Pudge,5,1,4,20.00%,2.59%,3,1,2,33.33%,2,0,2,0.00%
90,Vengeful Spirit,5,0,5,0.00%,2.59%,1,0,1,0.00%,4,0,4,0.00%
91,Zeus,5,0,5,0.00%,2.59%,4,0,4,0.00%,1,0,1,0.00%
92,Viper,4,2,2,50.00%,2.07%,3,1,2,33.33%,1,1,0,100.00%
93,Bloodseeker,4,1,3,25.00%,2.07%,4,1,3,25.00%,0,0,0,-
94,Dazzle,4,1,3,25.00%,2.07%,2,1,1,50.00%,2,0,2,0.00%
95,Puck,4,1,3,25.00%,2.07%,3,0,3,0.00%,1,1,0,100.00%
96,Disruptor,4,0,4,0.00%,2.07%,1,0,1,0.00%,3,0,3,0.00%
97,Winter Wyvern,3,3,0,100.00%,1.55%,1,1,0,100.00%,2,2,0,100.00%
98,Skywrath Mage,3,2,1,66.67%,1.55%,1,0,1,0.00%,2,2,0,100.00%
99,Doom,3,1,2,33.33%,1.55%,1,0,1,0.00%,2,1,1,50.00%
100,Drow Ranger,3,0,3,0.00%,1.55%,3,0,3,0.00%,0,0,0,-
101,Spirit Breaker,2,1,1,50.00%,1.04%,0,0,0,-,2,1,1,50.00%
102,Bounty Hunter,2,0,2,0.00%,1.04%,0,0,0,-,2,0,2,0.00%
103,Brewmaster,2,0,2,0.00%,1.04%,1,0,1,0.00%,1,0,1,0.00%
104,Huskar,2,0,2,0.00%,1.04%,1,0,1,0.00%,1,0,1,0.00%
105,Techies,2,0,2,0.00%,1.04%,1,0,1,0.00%,1,0,1,0.00%
106,Venomancer,2,0,2,0.00%,1.04%,0,0,0,-,2,0,2,0.00%
107,Night Stalker,1,1,0,100.00%,0.52%,0,0,0,-,1,1,0,100.00%
108,Chaos Knight,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
109,Clinkz,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
110,Luna,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
111,Lycan,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
112,Riki,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
113,Undying,1,0,1,0.00%,0.52%,1,0,1,0.00%,0,0,0,-
